genres,id,keywords,original_language,production_countries,spoken_languages,title
Comedy,8699,"journalism, sexism, ladder, panda, tv show in film, mustache, misogynist, newsroom, teleprompter, gang warfare, aftercreditsstinger, duringcreditsstinger, news spoof",en,United States of America,English,Anchorman: The Legend of Ron Burgundy
"Drama, Crime",769,"prison, based on novel, florida, 1970s, mass murder, irish-american, drug traffic, biography, based on true story, murder, organized crime, gore, mafia, gangster, new york city, extreme violence, violence, brooklyn new york city, crime epic, tampa",en,United States of America,"Italiano, English",GoodFellas
Action,10923,"spy, cia, killer robot, delinquent, teen spy",en,"Canada, United States of America",English,Agent Cody Banks
"Fantasy, Comedy, Family",11283,"loss of mother, nanny, education, wizardry, children, single father",en,"France, United Kingdom, United States of America",English,Nanny McPhee
"Action, Crime, Drama, Thriller",111,"miami, corruption, capitalism, cuba, prohibition, brother sister relationship, loss of sister, cocaine, cult film, bitterness",en,United States of America,"English, Español",Scarface
"Action, Adventure, Comedy",11676,"rap music, infidelity, security camera, loss, crook, sociopath, revenge, artifact, f word, racism, criminal, on the road, desert, security guard, shoplifting, screwball, reckless driving, road movie, buddy comedy, unlikely friendship, carjacker, advertising executive, suv, aftercreditsstinger",en,United States of America,English,Nothing to Lose
"Drama, History",746,"buddhism, japan, suicide, china, suicide attempt, war crimes, becoming an adult, isolation, war on drugs, revolution, emperor, arranged marriage, manchuria, dynasty, reeducation camp, cultural revolution, human experimentation, war, coup d'etat, teacher, beijing, decadence, communism",en,"France, China, United Kingdom, Italy","Český, English, 日本語, 普通话, Pусский",The Last Emperor
"Thriller, Action, Drama, Crime",77866,"head wound, criminal, security guard, contraband",en,"United States of America, United Kingdom, France",English,Contraband
"Action, Adventure, Comedy",9416,"prison, diamant, liberation of prisoners, transport of prisoners, interview, arrest",en,United States of America,English,Money Talks
Drama,7345,"brother brother relationship, deaf-mute, american dream, fanatic, pipeline, petrol, father, step father, oil, money, killer, alcoholic",en,United States of America,English,There Will Be Blood
"Animation, Adventure, Family",14317,"sister sister relationship, safari, wildlife, baboon, chimpanzee, woman director",en,United States of America,"English, Italiano",The Wild Thornberrys Movie
"Animation, Family",20694,kids and family,en,United States of America,English,Rugrats Go Wild
"Action, Comedy",12277,"usa president, double life, policy and organisations, undercover, intelligence, partner, duringcreditsstinger",en,United States of America,English,Undercover Brother
"Drama, Comedy",9779,"holiday, female friendship, jeans, coming of age, teenage girl, summer, based on young adult novel",en,United States of America,"English, ελληνικά, Español",The Sisterhood of the Traveling Pants
"Action, Crime, Thriller",2140,"paris, prostitute, drug",en,"France, United States of America","English, Français, 普通话",Kiss of the Dragon
"Romance, Comedy",12620,"virgin, nudity, college, costume, yoga, bikini, party, playboy, jail, sorority, pregnancy, model, car wash, fraternity, pledge",en,United States of America,English,The House Bunny
"Comedy, Romance",14177,,en,United States of America,English,Beauty Shop
Drama,198185,"baseball, sport, duringcreditsstinger",en,United States of America,"हिन्दी, English",Million Dollar Arm
"Drama, Science Fiction",227156,"dystopia, black and white, based on young adult novel",en,United States of America,English,The Giver
Comedy,10735,"london england, england, daughter, politician, teenage girl, father daughter relationship, american abroad, teen comedy, woman director",en,United States of America,English,What a Girl Wants
"Horror, Thriller",11351,"father son relationship, scarecrow, peasant, farm, immortality, mythical creature, father",en,United States of America,English,Jeepers Creepers 2
"Comedy, Drama, Romance",10030,"sex, aquarium, nudity, one-night stand, bride, man-woman relation, love, curse, wedding, dentist, based on short story, duringcreditsstinger",en,"Canada, United States of America",English,Good Luck Chuck
"Action, Crime, Drama",10623,"robbery, diamant, intelligence, bank robber, thief, bank robbery, financial transactions, hoodlum",en,United States of America,"English, 한국어/조선말, Pусский",Cradle 2 the Grave
Drama,590,"london england, suicide, gay, poetry, aids, drowning, depression, home, way of life, self-destruction, province, literature, empowerment, country life, family's daily life, sense of life, homelessness, leaving one's family, delusion",en,United States of America,English,The Hours
"Comedy, Drama, Family, Romance",9655,"roommate, twin sister, sport, boarding school, twin brother, mistaken identity, soccer, teenager, teen comedy, tomboy, fake identity, disguised voice, the big game",en,United States of America,English,She's the Man
"Family, Comedy",1268,"holiday, france, film director, chaos, clumsy fellow, to drop brick, aftercreditsstinger",en,"United Kingdom, France, Germany",English,Mr. Bean's Holiday
"Adventure, Action, Horror, Science Fiction, Thriller",11237,"snake, expedition, traitor, research, orchid, jungle, animal horror",en,United States of America,"English, Pусский",Anacondas: The Hunt for the Blood Orchid
"Thriller, Crime, Drama",190955,,en,"France, United States of America","Español, English, Italiano",Blood Ties
Drama,5123,"date, loss of son, love at first sight, child labour, guitar, loss of child, lover (female), love of one's life, harmonica, lie, choir, church choir, rock star, cello, forbidden love, music lover, organ, kiss, affection, music, concert, tenderness, motherly love, children's home, death of a child, orphanage, secret love, crush, children, falling in love, relationship, woman director, piano",en,United States of America,English,August Rush
"Drama, History",4518,"duke, historical figure, treason, catholic, protestant",en,United States of America,"Français, English",Elizabeth
"Horror, Comedy",11932,"route 66, puppet, evil doll, killer doll, killer toys, toy comes to life, chucky",en,"Canada, United States of America",English,Bride of Chucky
"History, Action, Drama, Adventure, War",11165,"japan, world war ii, pearl harbor, soldier, imperial japan",en,"Japan, United States of America","English, 日本語",Tora! Tora! Tora!
"Adventure, Fantasy, Drama, Comedy, Music",6116,"pop, pop culture, pop star",en,United Kingdom,English,Spice World
Comedy,57431,"babysitter, duringcreditsstinger",en,United States of America,English,The Sitter
"Action, Comedy, Music",21724,"rap music, hip-hop",en,United States of America,English,Dance Flick
"Drama, Crime",278,"prison, corruption, police brutality, prison cell, delinquent, parole board, escape from prison, wrongful imprisonment, framed for murder, 1940s",en,United States of America,English,The Shawshank Redemption
"Adventure, Comedy",9290,"crocodile, traffic jam, los angeles, stolen painting",en,"Australia, United States of America",English,Crocodile Dundee in Los Angeles
Comedy,11543,"sport, handicap, sexual favor, star spangled banner, bowling team, hair loss, biblical interpretation, comb over, female stripper, inflatable doll, combover, unlikely lovers, kingpin, carriage, lancaster, pa",en,United States of America,English,Kingpin
"Thriller, Crime, Drama",284536,"gambling, gun, professor, beating, gambler, loan shark",en,United States of America,English,The Gambler
"Comedy, Drama",152737,"suicide, drug addiction, funeral, dysfunctional family, based on play, midwest, southern, bleak comedy, mental disorders",en,United States of America,English,August: Osage County
"Drama, Comedy, Family",13374,"sport, figure skating, teenage girl, teen movie, teenager",en,"United States of America, Canada",English,Ice Princess
Comedy,8976,"new york, shyness, career, flight, romantic comedy, travel, male female relationship, los angeles",en,United States of America,English,A Lot Like Love
"Comedy, Drama, History",319888,"underdog, olympic games, ski jump, biography, sport, based on true story, britain, skiing, feel good",en,"Germany, United Kingdom, United States of America","English, Deutsch, Norsk",Eddie the Eagle
Drama,9469,"prison, father son relationship, homicide, begnadigung, release from prison, forgiveness, college, basketball, independent film",en,United States of America,English,He Got Game
"Romance, Drama, Comedy",1909,"sex addiction, love, mental institution, patient, psychiatrist, don juan",en,United States of America,English,Don Juan DeMarco
"Drama, Romance, War",22971,"based on novel, army, love, u.s. soldier",en,United States of America,English,Dear John
"Action, Adventure, Crime, Mystery, Thriller",34813,"hospital, black ops, reference to macgyver, sucked into jet engine",en,United States of America,English,The Losers
"Fantasy, Horror, Thriller",46261,"monster, remake, creature, bathtub, teeth, old house, scary little people",en,"United States of America, Australia, Mexico",English,Don't Be Afraid of the Dark
"Action, Thriller, Crime",10431,"fbi, revenge, fbi agent",en,"United States of America, Canada","广州话 / 廣州話, English, 日本語, 普通话",War
"Comedy, Drama, Romance",8051,"shyness, brother sister relationship, business man",en,United States of America,English,Punch-Drunk Love
Comedy,9352,"paris, berlin, alcohol, sex, nudity, adventure, pen pals, travel, nudism, marijuana, teenager, duringcreditsstinger",en,United States of America,"English, Français, Italiano, 日本語, Deutsch",EuroTrip
"Crime, Action, Thriller",10167,"resistance, undercover, alcatraz, stolen money",en,"Germany, United States of America",English,Half Past Dead
"Comedy, Family",18147,holiday,en,,English,Unaccompanied Minors
Drama,17170,"magazine, writer, drug, fashion show",en,"Japan, United States of America",English,"Bright Lights, Big City"
"Animation, Family, Fantasy",18975,"italy, father son relationship, pinocchio, love, school, crime, having fun, poor people, boys",en,"Czech Republic, France, Germany, United Kingdom, United States of America","English, Italiano",The Adventures of Pinocchio
"Drama, Family",15487,sport,en,United States of America,English,The Greatest Game Ever Played
"Thriller, Science Fiction",22825,"experiment, homicide, key, sacrifice, research, test, decision, police, control, stalker, murder, alien, gift, conspiracy, money, scientist, violence, button, stranger, box",en,United States of America,English,The Box
"Drama, Horror",11152,"maya civilization, carnivorous plant, cancún, ruins",en,"United States of America, Germany, Australia","English, Polski, Pусский",The Ruins
Comedy,1831,"gay, parents kids relationship, custody battle, flush, yoga, single, best friend, los angeles, single father, co-parenting",en,United States of America,"Français, English",The Next Best Thing
"Drama, Horror, Mystery, Thriller",43931,"soul, serial killer, slasher, teenager, 3d",en,United States of America,English,My Soul to Take
Comedy,10591,"porn actor, pornographic video, high school, school party, blonde, girl next door",en,United States of America,English,The Girl Next Door
"Action, Adventure, Thriller",10861,"mistake in person, dying and death, twin brother, russian mafia",en,United States of America,English,Maximum Risk
"Action, Comedy, Drama",12770,"robbery, fool, studies, house, uncle, independent film, money",en,United States of America,English,Stealing Harvard
"Crime, Thriller",276907,"biography, based on true story, gangster, twins",en,"United Kingdom, United States of America, France",English,Legend
"Action, Comedy",10074,"stuntman, step father, swimming pool, aftercreditsstinger",en,United States of America,English,Hot Rod
"Horror, Thriller",65055,"shark attack, louisiana, dirty cop, shark, aftercreditsstinger",en,United States of America,"English, Português",Shark Night
Drama,10397,"emigration, irish-american, hunger, socially deprived family, famine, alcoholism, brooklyn new york city",en,"Ireland, United States of America",English,Angela's Ashes
Drama,200505,"sport, duringcreditsstinger",en,United States of America,English,Draft Day
"Fantasy, Horror, Science Fiction, Thriller",11954,"space marine, vampire, flying saucer, comet, alien, halley's comet",en,United Kingdom,"English, Español",Lifeforce
"Crime, Drama, History",60309,"president, history, conspiracy, lawyer, trial, boarding house, military tribunal, historical, union, private club",en,United States of America,English,The Conspirator
Drama,9787,"skateboarding, success, independent film, woman director",en,"Germany, United States of America","English, Español",Lords of Dogtown
"Drama, History",293646,"mining, chile, based on true story, survival, woman director, mining accident",en,"United States of America, Chile","Español, English",The 33
"Action, Adventure, Comedy, Fantasy",6978,"kung fu, chinatown, magic, mystery",en,United States of America,"广州话 / 廣州話, English",Big Trouble in Little China
"Comedy, Romance",133698,,fr,France,"Français, Italiano, Polski",Fly Me to the Moon
"Action, Drama",59440,"bank, training, beating, mixed martial arts, teacher, muscleman, combat, alcoholic, gym, exercise",en,United States of America,English,Warrior
"Drama, Thriller",1770,"civil war, fight, presidential election, freedom fighter, chinese civil war, ireland",en,"Ireland, United Kingdom",English,Michael Collins
"War, Drama, History",10655,"civil war, independence, troops, army, battle, union soldier, confederate soldier, american civil war",en,United States of America,English,Gettysburg
"Drama, War",8988,"post traumatic stress  disorder, iraq war veteran, u.s. soldier, woman director",en,United States of America,English,Stop-Loss
"Drama, Mystery, Thriller",15992,"alcohol, detective, dancer, nightmare, college, job, party, elite, suspense, drug, boyfriend, thesis, pressure",en,"Australia, United States of America","Italiano, English",Abandon
"Drama, Thriller",17707,"holiday, prison, thailand, drug, injustice",en,United States of America,"English, ภาษาไทย",Brokedown Palace
"Horror, Thriller",77883,,en,"United States of America, Canada",English,The Possession
"Comedy, Romance, Drama",40001,"role reversal, mistaken identity, train wreck",en,United States of America,English,Mrs. Winterbourne
"Drama, Thriller",64639,"southern usa, rape, bar, wife husband relationship, barn, machismo, rifle, home invasion",en,United States of America,English,Straw Dogs
"Comedy, Drama",9903,"flying, 1970s, false identity, biography",en,United States of America,English,The Hoax
"Action, Crime, Thriller",21338,"undercover, fbi, biker, cop, motorcycle gang",en,United States of America,English,Stone Cold
"Adventure, Drama",20766,"post-apocalyptic, dystopia, paternity, duringcreditsstinger",en,United States of America,English,The Road
"Action, Adventure, Comedy, Fantasy, Science Fiction",24264,"africa, mercenary, adventure, female hero, jungle girl",en,,English,Sheena
"Action, Comedy",19803,"police, high school, undercover cop",en,United States of America,English,Underclassman
"Comedy, Romance",20309,,en,United States of America,English,Say It Isn't So
Drama,9912,"new zealand, utah, life's dream, independent film, motorcycle, motorcycle racing, trailer, mortgage",en,"New Zealand, Switzerland, Japan, United States of America","English, Français, Pусский",The World's Fastest Indian
"Action, Comedy, Fantasy, Science Fiction",9067,"destroy, dystopia, reincarnation, desert, artial arts, woman director",en,United States of America,English,Tank Girl
"Comedy, Crime",27360,"caper, action",en,"Canada, United States of America",English,King's Ransom
"Drama, Mystery, Science Fiction, Thriller",8338,"fight, blindness and impaired vision, asylum, leader, society, eye specialist, uprising, doomsday, plague",en,"Brazil, Canada, Japan","日本語, English",Blindness
"Action, Adventure, Fantasy, Horror",168705,"vampire, vampire hunter, based on video game, romania",en,United States of America,"English, Português",BloodRayne
"Comedy, Drama",72113,"flat, mobile phone, hamster, insult, dark comedy, writer, tulips, meeting, puke, pants, liberal",en,"Spain, France, Germany, Poland",English,Carnage
"Drama, Mystery, Thriller",9729,"sex, journalist, journalism, 1970s, entertainer, one-night stand, extramarital affair, sex party",en,United States of America,English,Where the Truth Lies
"Fantasy, Family",94352,"clown, music, mimes, cirque du soleil, carnies, aerialist",en,United States of America,English,Cirque du Soleil: Worlds Away
Drama,22256,"running, olympic games, sport, athlete",en,United States of America,English,Without Limits
"Comedy, Drama, Romance",12404,"new york, based on novel, historical figure, theater, 1930s",en,United States of America,English,Me and Orson Welles
"Drama, Romance, Crime, Mystery",152742,"painting, auctioneer, confidence game, fine art, honey pot",en,Italy,English,The Best Offer
"Drama, Crime",11699,"police brutality, organized crime, policeman, illegal drugs, murder investigation, corrupt cop",en,United States of America,"Español, English",The Bad Lieutenant: Port of Call - New Orleans
"Animation, Family",49953,"global warming, sea turtle, 3d",en,"France, Belgium",English,A Turtle's Tale: Sammy's Adventures
"Comedy, Drama",48034,"american football, country house, motorboat, male female relationship, thirty something, beach house, organic food, weasel, group of friends, reprimand, declaration of love, parent child relationship, texting, low tide, forced, interrupted vacation, osteopath, lovesick",fr,France,Français,Little White Lies
Drama,39845,independent film,en,"United States of America, Germany",English,Love Ranch
"Family, Adventure, Animation",25353,"cat, surrealism, cartoon cat",fr,France,"Český, English, Français, Polski",The True Story of Puss 'n Boots
"Family, Animation",36696,"russia, space mission, space, outer space, dog",ru,"United States of America, Russia",Pусский,Space Dogs
"Thriller, Crime, Drama",109091,"poetry, lawyer, drug smuggling, drug trafficking, red dress",en,"United Kingdom, United States of America",English,The Counselor
"Romance, Adventure, Action, History",38543,"ambush, hero, fight, castle, battlefield, duel, king, order of the templars",en,"United Kingdom, United States of America","Dansk, English, Magyar, Latin",Ironclad
"History, Action, Drama",33157,"biography, napoleon bonaparte, waterloo",en,"Italy, Russia","English, Pусский",Waterloo
"Crime, Action, Thriller",290864,"martial arts, kung fu, serial killer",cn,"Hong Kong, China","广州话 / 廣州話, 普通话",Kung Fu Jungle
"Action, Thriller",242166,"love triangle, middle east, fight, kidnapping, missile, pilot, honor, betrayal, mission, conspiracy, attack, explosion, combat, jet, military, rogue, squad, wmd, dog fight",en,"Russia, United States of America",English,Red Sky
"Drama, Romance",859,"lovesickness, sexuality, cheating, cynic, ladykiller, fiancé, arranged marriage, passion, seduction, love letter, boredom, courtly life, french revolution, lover, plan, praise, gender roles",en,"United Kingdom, United States of America",English,Dangerous Liaisons
"Adventure, Drama",83770,"based on novel, cemetery, narration, nudity, funeral, song, friendship, road trip, marijuana, snow, cigarette smoking, writer, photograph, on the road, sex scene, typewriter, voice over, suicide thoughts, road movie, denver colorado, kerouac",en,"Brazil, France, United Kingdom, United States of America","English, Français",On the Road
"Science Fiction, Adventure",168,"saving the world, san francisco, uss enterprise-a, time travel, whale, marine biologist, vulcan, space opera",en,United States of America,"English, suomi",Star Trek IV: The Voyage Home
Drama,1246,"philadelphia, transporter, fight, love of one's life, publicity, boxer, grave, tombstone, tv station, boxing match, comeback, training, restaurant owner, world champion, challenger, virtual fight, defeat, victory, cancer, over-the-hill fighter",en,United States of America,"English, Español",Rocky Balboa
"Horror, Mystery",4233,"film festivals, slaughter, slasher",en,United States of America,English,Scream 2
"Action, Drama, Western",174751,,en,United States of America,English,Jane Got a Gun
"Comedy, Romance",184098,,en,United States of America,English,Think Like a Man Too
"Comedy, Crime",2069,"bounty, gangster boss, montreal, gangster, dentist, hoodlum",en,"Canada, United States of America","English, Français, Español",The Whole Nine Yards
"Drama, Family, Music, Romance",1788,"dancing, dancer, dance, music, dance teacher",en,United States of America,English,Footloose
Comedy,11635,"sex doll, streaking, mouth to mouth resuscitation",en,United States of America,English,Old School
"Comedy, Drama",177,"holy grail, homeless person, loss of lover, mental disease, sense of guilt, suppressed past, yuppie, cynic, fantasy, self-discovery, housebreaking, forgiveness, gun rampage, talk show, legend, unsociability, person running amok",en,United States of America,English,The Fisher King
"Horror, Mystery, Thriller",3600,"competition, island, radio, bahamas, college, knife, fisherman, vacation, revenge, murder, marijuana, resort, blood, slasher, storm, hook, killer",en,United States of America,English,I Still Know What You Did Last Summer
"Romance, Comedy, Drama",2621,"transplantation, love of one's life, veterinarian, woman director",en,United States of America,"English, Italiano",Return to Me
Comedy,10358,"pornography, love of one's life, platonic love, pornographic video, best friend, sex comedy, best friends in love, aftercreditsstinger, duringcreditsstinger",en,United States of America,English,Zack and Miri Make a Porno
"Comedy, Crime, Thriller",10480,"independent film, native american, violence, soap opera, used car dealer, nurse uniform, female bartender, tv production, heart specialist, formosa cafe hollywood, tv writer, murderer duo",en,"Germany, United States of America","Español, English",Nurse Betty
"Comedy, War",10313,"vietnam veteran, kuwait, new age, staring contest, drug use, paranoid fantasy, hippie lifestyle",en,"United Kingdom, United States of America",English,The Men Who Stare at Goats
"Adventure, Drama, Action, Comedy, Romance",18828,"mexico, cia, fbi, train",en,United States of America,English,Double Take
Drama,3558,"based on novel, suicide attempt, puberty, biography, borderline personality disorder",en,"Germany, United States of America",English,"Girl, Interrupted"
"Comedy, Romance",13476,"celebrity, romantic comedy, male female relationship, movie star",en,United States of America,English,Win a Date with Tad Hamilton!
"Fantasy, Comedy, Science Fiction, Family",10208,"puppet, the muppets",en,United States of America,English,Muppets from Space
"Adventure, Family, Fantasy, Music",24961,"melancholy, little dog, based on stage musical, based on film, wizard",en,United States of America,English,The Wiz
"Action, Comedy, Drama",20697,"wrestling, sport",en,United States of America,English,Ready to Rumble
"Comedy, Drama",20761,sport,en,United States of America,"English, Français",Play It to the Bone
"Romance, Comedy",70868,"pregnancy, family vacation, widower, working mum, in-laws",en,United States of America,English,I Don't Know How She Does It
"Comedy, Horror",43593,"yacht, movie in movie, scuba diving, piranha, spring break, man eaten by monster, 3d",en,United States of America,English,Piranha 3D
"Drama, Music",6478,"musical, perfectionist, rowboat, courtship",en,"Germany, United Kingdom, United States of America",English,Beyond the Sea
"Animation, Comedy, Family",40688,,en,,English,Meet the Deedles
"Adventure, Fantasy, Animation, Science Fiction, Family",26672,"prophecy, witch, princess, battle, desert, troubled production, unfinished film",en,United Kingdom,English,The Thief and the Cobbler
"Romance, Drama",45881,"based on novel, bridge, peru, period drama, 18th century, woman director, collapse",en,"Spain, United Kingdom, France",English,The Bridge of San Luis Rey
"Crime, Drama, Action, Thriller",41283,,en,United States of America,English,Faster
"Fantasy, Animation, Adventure",4935,"flying, witch, rain, castle, scarecrow, body exchange, hatter, bakery, demon, anime",ja,Japan,日本語,Howl's Moving Castle
"Comedy, Horror",19908,"washington d.c., sister sister relationship, post-apocalyptic, road trip, blood splatter, parody, survival, zombie, violence, survival horror, amusement park, twinkie, body count, zombification, disposing of a dead body, bitten on the arm, loner, aftercreditsstinger, zombie apocalypse, fear of clowns",en,United States of America,English,Zombieland
Comedy,10663,"sport, social outcast, ridicule, lawn mower, deserted by husband, low self esteem, black and white to color",en,United States of America,English,The Waterboy
"Adventure, Action, Science Fiction",1891,"rebel, android, asteroid, space battle, snow storm, space colony, spaceship, lightsaber, jedi, good vs evil, rebellion, the force, space opera, stormtrooper, wookie, jedi master, jedi training, droid",en,United States of America,English,The Empire Strikes Back
"Action, Comedy, Crime, Thriller",9737,"miami, detective, handcuffs, airport, mexican standoff, strip club, witness protection, car crash, internal affairs, gunfight, explosion, brutality, foot chase, car chase, drug lord, hangar, loose cannon, bust, reference to skittles, black cop, badge, action hero, corrupt cop",en,United States of America,English,Bad Boys
"Comedy, Crime",37137,"washington d.c., usa president, spoof, the white house",en,United States of America,English,The Naked Gun 2½: The Smell of Fear
Horror,9532,"omen, airplane accident, corpse, death, near-death experience",en,United States of America,"English, Français",Final Destination
Drama,10316,"ohio, politics, dirty tricks, presidential campaign, endorsement, campaign speech, presidential debate",en,United States of America,English,The Ides of March
"Thriller, Science Fiction, Action",2787,"darkness, dystopia, comet, alien life-form, survival, eclipse, flask, corps",en,United States of America,English,Pitch Black
"Comedy, Romance",12658,"feminism, cohabitant, tv show, man-woman relation, man between two women",en,United States of America,English,Someone Like You...
"Romance, Science Fiction, Drama",152601,"artificial intelligence, computer, love, loneliness, transhumanism, heartbreak, near future, singularity, bittersweet",en,"China, United States of America",English,Her
"Mystery, Thriller, Drama",10866,"colorado, friendship, stalker, pokies, truck driver, cb radio, strange",en,United States of America,English,Joy Ride
"Fantasy, Adventure, Family",227707,"london england, based on novel, key, adventure, supernatural, steampunk",en,"Belgium, United Kingdom, Spain",English,The Adventurer: The Curse of the Midas Box
"Drama, Comedy, Romance",21349,dream,en,United States of America,English,Anywhere But Here
"Action, Comedy",19150,,en,United States of America,"English, Español",The Crew
"Action, Thriller",70435,"mercenary, secret agent, rescue, foot chase, spanish",en,"Ireland, United States of America","English, Español",Haywire
"Adventure, Thriller",580,"shark attack, bahamas, dying and death, aggression by animal, sequel, revenge, underwater, shark, great white shark, animal attack, caribbean, christmas, banana boat",en,United States of America,English,Jaws: The Revenge
Drama,9819,"sister sister relationship, sister, leukemia, reunion, cancer, bone marrow transplant",en,United States of America,"English, Español",Marvin's Room
"Drama, Family",13579,,en,United States of America,English,The Longshots
Drama,20024,"bomb, sex, jealousy, infidelity, obsession, world war ii, passion, romance, cheating wife, church",en,"United States of America, United Kingdom","English, Français",The End of the Affair
"Action, Thriller",2453,"corruption, harley davidson, drug dealer, los angeles, las vegas",en,United States of America,English,Harley Davidson and the Marlboro Man
"History, Drama, Thriller, Crime, Mystery",6973,"father son relationship, detective, war crimes, patriotism, homicide, investigation, iraq, military service, police, cover-up, disappearance, murder investigation",en,United States of America,English,In the Valley of Elah
"Drama, History",11156,"fashion designer, woman director",fr,"Belgium, France","Français, English",Coco Before Chanel
"Western, Drama",354110,,en,Canada,English,Forsaken
"Drama, Comedy, Romance",22215,,en,"Germany, United Kingdom, France","English, Français, Italiano, Latin",Cheri
"Drama, Romance",11632,"london england, british empire, lover, advancement, aristocrat, woman director",en,"United Kingdom, United States of America","English, Français, Deutsch",Vanity Fair
"Drama, Action, History",30596,"assassination, martial arts, sword, blood splatter, impalement, beaten to death, hong kong, head bashed in, extreme violence, violent death, hook, bloody fight, throat slitting, violence",cn,China,"普通话, 广州话 / 廣州話, English",Bodyguards and Assassins
"Horror, Thriller",3021,"suicide, new york, hotel, fire, hotel room, wife husband relationship, suicide attempt, window, door, haunted house, research, ghost world, painting, telephone, loss of daughter, blood",en,United States of America,English,1408
"Comedy, Science Fiction",957,"android, lasergun, swordplay, temple, space marine, space battle, space travel, space mission, galaxy, comb, altar, magnet beam, jam, speed of light, plastic surgery, password, shield, nose, spoof",en,United States of America,English,Spaceballs
"War, Drama",256917,"istanbul, australia, post world war i, farmer, missing in action, missing son, gallipoli campaign, inspired by true events",en,"Australia, United States of America","Pусский, Türkçe, ελληνικά, English",The Water Diviner
"Fantasy, Drama, Thriller, Mystery, Romance",251,"corruption, fortune teller, money transfer, money laundering, pottery, afterlife, spiritism",en,United States of America,English,Ghost
"Romance, Comedy",544,"surgeon, stalker, romantic comedy, dream girl, taboo, screwball comedy, frisbee, troubadour, gross out comedy, intellectual disability",en,United States of America,English,There's Something About Mary
"Fantasy, Drama, Comedy, Family",11395,"holiday, christmas party, santa claus, deal, christmas tree, christmas",en,United States of America,English,The Santa Clause
"Drama, Family",14635,"father son relationship, baseball, sports team, sport, life's dream, growing up",en,United States of America,English,The Rookie
"Comedy, Family",13680,"american football, bachelor, sports team, sport, aerobics, tween girl, publicist",en,United States of America,English,The Game Plan
"Drama, Romance",688,"farewell, adultery, love at first sight, photographer, wife husband relationship, iowa, love of one's life, mother role, bridge, housewife, love letter, peasant, marriage crisis, photography, unsociability, secret love, nature documentary",en,United States of America,English,The Bridges of Madison County
"Action, Comedy",11090,"dream, employee, car crash, scientist, police officer, organ donation, aftercreditsstinger, virility",en,United States of America,English,The Animal
"Drama, History",783,"muslim, indian lead, demonstration, world war ii, imprisonment, release from prison, south africa, bravery, hunger strike, colony, morning prayer, hindu, independence, british army, political negotiations, conference, nonviolent resistance, apartheid, british empire, protest, independence movement, bombay india, strike, freedom, prayer, world religion, hinduism, mahatma gandhi, calcutta",en,"India, United Kingdom","English, हिन्दी",Gandhi
Drama,228194,"france, based on novel, indian lead, restaurant, family",en,"India, United States of America, United Arab Emirates","हिन्दी, English, Français",The Hundred-Foot Journey
"Crime, Drama, Mystery, Thriller, Action",1642,"cheating, new identity, computer virus, chase, computer, stalking",en,United States of America,"English, Español",The Net
Drama,10950,"foster parents, pro bono, new baby, social services, learning, coffee shop manager, pizza hut, children's book, locked door, mentally handicapped man, child custody, woman director",en,United States of America,English,I Am Sam
Drama,235260,"biography, resurrection",en,United States of America,"English, עִבְרִית",Son of God
"Fantasy, Action, Thriller",277,"budapest, subway, love of one's life, vampire, bite, descendant, hostility, shootout, werewolf, blunt, fang vamp",en,"Germany, Hungary, United Kingdom, United States of America",English,Underworld
"Drama, Thriller",8999,"prison, chicago, rape, based on novel, hotel room, wife husband relationship, anonymous letter, blackmail, family's daily life, letter, business man, relationship problems, man between two women, revenge, deception, beating, violence, wallet, extramarital affair, embezzlement, advertising executive, flashback, abortion, commuter train",en,"United Kingdom, United States of America","English, Français",Derailed
"Drama, Comedy, Crime",11323,"agriculture, company, witness to murder",en,United States of America,English,The Informant!
"Drama, Romance",10445,"bachelor, stroke of fate, brother, oxford, author, falling in love",en,United Kingdom,English,Shadowlands
Comedy,11453,"painter, amsterdam, dolphin, europe, pimp, fetish, gigolo, wig, snorkel, whistle",en,United States of America,"Nederlands, English, Polski, Português",Deuce Bigalow: European Gigolo
Comedy,146239,"remake, sperm donor",en,United States of America,English,Delivery Man
Thriller,205588,"based on novel, woman director",en,"France, United Kingdom","Pусский, English, Français",Our Kind of Traitor
"Comedy, Crime, Romance",10878,"female nudity, harassment, male friendship, dark comedy, director cameo, duringcreditsstinger",en,United States of America,"English, Polski, Português, Español",Saving Silverman
"Comedy, Family",82650,"best friend, sweet sixteen, duringcreditsstinger",en,United States of America,English,Diary of a Wimpy Kid: Dog Days
"Thriller, Drama, Crime, Romance",10279,"distrust, intolerance, punk rock, italian american, summer, bigotry, bronx",en,United States of America,"English, Italiano",Summer of Sam
Comedy,2294,"film making, jay and silent bob, self mocking, character is subject of comic, reference to prince valiant, indiana jones spoof scene, monkey actor, view askew, gigantic hand, animal experimentation",en,United States of America,English,Jay and Silent Bob Strike Back
"Drama, Thriller",2176,"california, brother sister relationship, loss of parents, suspense, psychological thriller, orphan, car accident",en,United States of America,"Español, English",The Glass House
"Comedy, Drama, Mystery",270487,"journalist, cat, ransom, kidnapping, ancient rome, movie in movie, hollywood, period drama",en,United States of America,English,"Hail, Caesar!"
